,Title,Postcode,District,Street,Type,Size,Rooms,Furnished,Neighborhood_x,SLatitude,SLongitude,Rent
104,Bellamystraat,3514EK,Wijk 04 Noordoost,Bellamystraat,Apartment,124,3,furnished,Noordoost,52.097603139017004,5.1189720192140005,3250
164,Buys Ballotstraat,3572ZP,Wijk 04 Noordoost,Buys Ballotstraat,Apartment,80,2,upholstered,Noordoost,52.096736904664,5.1399165976626,2250
163,Buys Ballotstraat,3572ZP,Wijk 04 Noordoost,Buys Ballotstraat,Apartment,80,2,furnished,Noordoost,52.096736904664,5.1399165976626,1745
162,M.A. de Ruyterstraat,3572XN,Wijk 04 Noordoost,M.A. de Ruyterstraat,Apartment,169,4,upholstered,Noordoost,52.100593207654,5.1359369029040005,2500
161,Bouwstraat,3572SR,Wijk 04 Noordoost,Bouwstraat,House,64,3,furnished,Noordoost,52.097245849094,5.129889394789201,1595
160,Willem Barentszstraat,3572PK,Wijk 04 Noordoost,Willem Barentszstraat,Studio,30,1,furnished,Noordoost,52.097054268220006,5.140555800651,1060
159,Huizingalaan,3572LL,Wijk 04 Noordoost,Huizingalaan,Apartment,35,1,furnished,Noordoost,52.099972958661006,5.140750306082401,1800
158,Huizingalaan,3572LL,Wijk 04 Noordoost,Huizingalaan,Apartment,35,1,furnished,Noordoost,52.099972958661006,5.140750306082401,1800
157,Huizingalaan,3572LL,Wijk 04 Noordoost,Huizingalaan,Apartment,45,1,furnished,Noordoost,52.099972958661006,5.140750306082401,2100
156,Huizingalaan,3572LL,Wijk 04 Noordoost,Huizingalaan,Apartment,45,1,furnished,Noordoost,52.099972958661006,5.140750306082401,2100
155,Griftstraat,3572GT,Wijk 04 Noordoost,Griftstraat,House,75,2,upholstered,Noordoost,52.098549691830996,5.1344970921141,1500
154,Biltstraat22-ABS,3572BB,Wijk 04 Noordoost,Biltstraat,Apartment,100,2,furnished,Noordoost,52.095243810355996,5.127682485295099,1500
153,De Vooysplantsoen,3571ZR,Wijk 04 Noordoost,De Vooysplantsoen,Apartment,75,2,furnished,Noordoost,52.103127459635,5.1349273146239005,1400
152,Dr. H.J. Lovinklaan5,3571WC,Wijk 04 Noordoost,Dr. H.J. Lovinklaan,House,117,3,furnished,Noordoost,52.104819621596,5.1290300000733,2200
151,Obbinklaan100,3571NJ,Wijk 04 Noordoost,Obbinklaan,Apartment,95,3,shell,Noordoost,52.106367823675,5.1352574434793,1295
165,Pal Maleterstraat,3573PE,Wijk 04 Noordoost,Pal Maleterstraat,Apartment,100,3,furnished,Noordoost,52.107884451232,5.1438706468608,1546
150,Troosterhof,3571NC,Wijk 04 Noordoost,Troosterhof,Apartment,75,2,shell,Noordoost,52.106674851891,5.1353742145561,1500
148,Lamérislaan,3571LA,Wijk 04 Noordoost,Lamérislaan,House,119,5,furnished,Noordoost,52.107507393864005,5.1371858531784005,1600
147,Prof. Zonnebloemlaan,3571KR,Wijk 04 Noordoost,Prof. Zonnebloemlaan,Apartment,90,2,furnished,Noordoost,52.107602147777996,5.1345626892736,1425
110,Jan van den Doemstraat,3515XN,Wijk 04 Noordoost,Jan van den Doemstraat,Apartment,56,2,shell,Noordoost,52.104333591907995,5.1227066077367,1300
109,Jacob van der Borchstraat,3515XE,Wijk 04 Noordoost,Jacob van der Borchstraat,Apartment,55,1,furnished,Noordoost,52.103879612958,5.1198013568074,1350
108,Gerard Noodtstraat,3515VV,Wijk 04 Noordoost,Gerard Noodtstraat,House,115,4,upholstered,Noordoost,52.102944750094004,5.1206718304717,1625
107,Van Humboldtstraat,3514GP,Wijk 04 Noordoost,Van Humboldtstraat,Apartment,40,1,furnished,Noordoost,52.099322705716,5.1218932727055,1395
106,Willem van Noortplein,3514GK,Wijk 04 Noordoost,Willem van Noortplein,Apartment,70,1,upholstered,Noordoost,52.102383784299,5.1230437234560995,1395
105,Duifstraat38,3514ER,Wijk 04 Noordoost,Duifstraat,House,100,3,furnished,Noordoost,52.09770874831899,5.119562176615401,1850
103,Nieuwe Koekoekstraat,3514EB,Wijk 04 Noordoost,Nieuwe Koekoekstraat,Apartment,60,2,furnished,Noordoost,52.098205991145,5.119499708156299,1495
102,Adelaarstraat,3514CH,Wijk 04 Noordoost,Adelaarstraat,Apartment,75,2,furnished,Noordoost,52.099573910173,5.1173635910643,1495
101,Wittevrouwensingel,3514AM,Wijk 04 Noordoost,Wittevrouwensingel,Apartment,50,1,upholstered,Noordoost,52.097978394128,5.1252233031023,1395
100,Weerdsingel O.Z.,3514AG,Wijk 04 Noordoost,Weerdsingel O.Z.,Apartment,75,1,furnished,Noordoost,52.097396233175004,5.1221057215399,1995
99,Weerdsingel O.Z.,3514AA,Wijk 04 Noordoost,Weerdsingel O.Z.,Apartment,45,1,furnished,Noordoost,52.096756126494,5.116716883397,2400
98,Weerdsingel O.Z.,3514AA,Wijk 04 Noordoost,Weerdsingel O.Z.,Apartment,45,1,furnished,Noordoost,52.096756126494,5.116716883397,2100
149,Troosterhof,3571NC,Wijk 04 Noordoost,Troosterhof,Apartment,75,2,shell,Noordoost,52.106674851891,5.1353742145561,1500
97,Weerdsingel O.Z.,3514AA,Wijk 04 Noordoost,Weerdsingel O.Z.,Apartment,45,1,furnished,Noordoost,52.096756126494,5.116716883397,2400
96,Weerdsingel O.Z.,3514AA,Wijk 04 Noordoost,Weerdsingel O.Z.,Apartment,45,1,furnished,Noordoost,52.096756126494,5.116716883397,2100
173,Emmalaan,3581HS,Wijk 05 Oost,Emmalaan,Apartment,60,1,upholstered,Oost,52.093743399657,5.1409628399624,1195
