,Venue Category,Street,0
0,Drink Place,2e Buurkerksteeg,18
1,Drink Place,3e Buurkerksteeg,18
2,Drink Place,Abstederdijk,6
3,Drink Place,Achter St.-Pieter,19
4,Drink Place,Adriaanstraat,4
5,Drink Place,Adriaen van Ostadelaan,2
6,Drink Place,Agnietenstraat,9
7,Drink Place,Albert van Dalsumlaan,1
8,Drink Place,Alkhof,11
9,Drink Place,Andreashof,17
10,Drink Place,Arthur van Schendelstraat,10
11,Drink Place,Barnsteenlaan,2
12,Drink Place,Bellamystraat,9
13,Drink Place,Biltstraat,7
14,Drink Place,Bolstraat,5
15,Drink Place,Bouwstraat,5
16,Drink Place,Briljantlaan,2
17,Drink Place,Buurkerkhof,18
18,Drink Place,Buys Ballotstraat,1
19,Drink Place,Carry van Bruggenstraat,9
20,Drink Place,Croeselaan,1
21,Drink Place,Domstraat,20
22,Drink Place,Dr. H.J. Lovinklaan,1
23,Drink Place,Duifstraat,9
24,Drink Place,Eligenhof,13
25,Drink Place,Emmalaan,1
26,Drink Place,Gansstraat,11
27,Drink Place,Geertekerkhof,13
28,Drink Place,Geertestraat,13
29,Drink Place,Gerard Noodtstraat,2
30,Drink Place,Griftstraat,2
31,Drink Place,Groenestraat,12
32,Drink Place,Groenmarktstraat,2
33,Drink Place,Hartingstraat,11
34,Drink Place,Henriëtte Roland Holststraat,13
35,Drink Place,Herculeslaan,2
36,Drink Place,Hollandse Toren,16
37,Drink Place,Homeruslaan,3
38,Drink Place,Jacob van der Borchstraat,2
39,Drink Place,Jacobijnenstraat,19
40,Drink Place,Jan van den Doemstraat,2
41,Drink Place,Janskerkhof,20
42,Drink Place,Jansveld,19
43,Drink Place,Jeruzalemstraat,17
44,Drink Place,Johan van Oldenbarneveltlaan,5
45,Drink Place,Justus van Effenstraat,11
46,Drink Place,Kerkstraat,9
47,Drink Place,Korte Jansstraat,19
48,Drink Place,Korte Jufferstraat,15
49,Drink Place,Lange Jufferstraat,15
50,Drink Place,Lange Nieuwstraat,14
51,Drink Place,Lange Smeestraat,15
52,Drink Place,M.A. de Ruyterstraat,1
53,Drink Place,Maliebaan,3
54,Drink Place,Maliestraat,1
55,Drink Place,Mgr. van de Weteringstraat,2
56,Drink Place,Minstraat,1
57,Drink Place,Moreelsehoek,12
58,Drink Place,Mulderstraat,7
59,Drink Place,Neude,19
60,Drink Place,Nicolaas Beetsstraat,8
61,Drink Place,Nieuwe Koekoekstraat,7
62,Drink Place,Nieuwegracht,17
63,Drink Place,Nieuwegracht aan de Werf,14
64,Drink Place,Nieuwekade,11
65,Drink Place,Nieuwekamp,11
66,Drink Place,Nobelstraat,19
67,Drink Place,Oosterkade,11
68,Drink Place,Oudegracht,17
69,Drink Place,Oudegracht aan de Werf,20
70,Drink Place,Oudkerkhof,21
71,Drink Place,Oudwijkerveldstraat,5
72,Drink Place,Parkstraat,13
73,Drink Place,Prins Hendriklaan,1
74,Drink Place,Ridderschapstraat,12
75,Drink Place,Rolderdiephof,1
76,Drink Place,Springweg,18
77,Drink Place,Stationsstraat,14
78,Drink Place,Steenweg,19
79,Drink Place,Tolsteegplantsoen,4
80,Drink Place,Tolsteegsingel,8
81,Drink Place,Van Humboldtstraat,4
82,Drink Place,Van Lidth de Jeudestraat,8
83,Drink Place,Van der Helststraat,3
84,Drink Place,Vinkenburgstraat,19
85,Drink Place,Vondellaan,3
86,Drink Place,Voorsterbeeklaan,1
87,Drink Place,Voorstraat,20
88,Drink Place,Vredenburg,18
89,Drink Place,Wagendwarsstraat,5
90,Drink Place,Wagenstraat,5
91,Drink Place,Weerdsingel O.Z.,12
92,Drink Place,Willem Barentszstraat,1
93,Drink Place,Willem van Noortplein,2
94,Drink Place,Wittevrouwensingel,8
95,Drink Place,Wolter Heukelslaan,5
96,Drink Place,Wolvenplein,12
97,Drink Place,Zakkendragershof,19
98,Drink Place,Zuilenstraat,16
99,Entertainment Place,2e Buurkerksteeg,10
100,Entertainment Place,3e Buurkerksteeg,11
101,Entertainment Place,Abstederdijk,7
102,Entertainment Place,Achter St.-Pieter,13
103,Entertainment Place,Adelaarstraat,2
104,Entertainment Place,Adriaanstraat,3
105,Entertainment Place,Adriaen van Ostadelaan,2
106,Entertainment Place,Agnietenstraat,8
107,Entertainment Place,Albert van Dalsumlaan,1
108,Entertainment Place,Alkhof,6
109,Entertainment Place,Andreashof,5
110,Entertainment Place,Arthur van Schendelstraat,2
111,Entertainment Place,Aziëlaan,1
