Postcode_Number,District, District_latitude, District_longitue,Neighbourhood,Neigh_latitude,Neigh_longitude,Zipcode,Street,Latitude,Longitude
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZR,Vletweide,52.0723738,5.189571296
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZP,Vletweide,52.07244991,5.1900377
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZN,Vletweide,52.07263933,5.190439014
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZM,Vletweide,52.07293293,5.190737829
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZL,Vletweide,52.07304312,5.19131933
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZK,Vletweide,52.07230585,5.190539286
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZJ,Secretaris de Jonglaan,52.0716528,5.191016341
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZG,Secretaris de Jonglaan,52.07160196,5.190544223
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZE,Lokhorstlaan,52.07072007,5.18846805
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZD,Lokhorstlaan,52.07101244,5.190637509
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZC,Lokhorstlaan,52.07026668,5.188772699
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981ZB,Lokhorstlaan,52.07075254,5.191909977
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XR,Hoenderiklaan,52.07365941,5.19129927
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XP,Hoenderiklaan,52.07338338,5.192711532
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XN,van Oostromgaarde,52.07294971,5.1933291
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XM,van Merkensteijngaarde,52.07201128,5.191715528
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XL,van Merkensteijngaarde,52.07161728,5.192484688
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XK,'t Woerel,52.07269457,5.192517226
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XJ,'t Woerel,52.07243278,5.192916432
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XH,van Riemsdijkgaarde,52.07191539,5.193715586
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XG,van Riemsdijkgaarde,52.0711404,5.193501585
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XE,van Riemsdijkgaarde,52.07108101,5.194262448
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XD,Boslaan,52.07040376,5.194521504
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XC,Laan van Broekhuijzen,52.07042974,5.193084656
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XB,Laan van Broekhuijzen,52.06967108,5.193586735
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981XA,Laan van Broekhuijzen,52.06957994,5.192880106
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981WK,Jan Oostendorpstraat,52.06520747,5.197621615
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981WJ,Deken Heinenstraat,52.06462195,5.197127309
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981WH,Deken Heinenstraat,52.06565613,5.196601796
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981WG,Deken Heinenstraat,52.06472404,5.197249319
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981WE,Engweg,52.06631749,5.198395198
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981WD,Engweg,52.06606178,5.19859874
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981WC,Huib van de Vechtlaan,52.06482789,5.197940984
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981WB,Huib van de Vechtlaan,52.06508569,5.198226947
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981VG,Kon Wilhelminastraat,52.06579109,5.209932284
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981VE,Prins Hendrikstraat,52.06542134,5.210484217
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981VD,Nassaustraat,52.06522149,5.211001667
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981VC,Koningin Emmastraat,52.06478403,5.211481946
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981VB,Koningin Emmastraat,52.06510068,5.20970155
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981VA,Koningin Emmastraat,52.06516894,5.210557487
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TT,Voerliedenhoek,52.06869446,5.188115348
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TS,Voerliedenhoek,52.06841492,5.187845322
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TR,Vleeshouwershof,52.06728258,5.189807525
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TP,Schrijnwerkershof,52.06573111,5.190272283
3981,Wijk 00 Bunnik,52.06167851,5.18562534,Bunnik,52.06806954,5.20162778,3981TN,Rietdekkershoek,52.06680415,5.188186891
